Niño,Grupo,Edad,Emparejamiento_emocion_RC,Emparejamiento_emocion_TR,Memoria_emocion_RC,Memoria_emocion_TR,Emparejamiento_identidad_RC,Emparejamiento_identidad_TR,Memoria_identidad_RC,Memoria_identidad_TR,emocion emp,emocion mem,pre/post,Tipo emp emoción,Omisión emp emoción,Comisión emp emoción,Tipo mem emoción,Omisión mem emoción,Comisión mem emoción,Tipo emp identidad,Omisión emp identidad,Comisión emp identidad,Tipo mem identidad,Omisión mem identidad,Comisión mem identidad
ALJ10M,Grupo emoción,10,1,1.741719895,1,1.831379225,1,2.557777824,1,0.799270953,Tristeza,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,1.819011412,1,1.057796786,1,3.166590551,1,0.913694352,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,2.082914831,1,1.906553605,1,2.075772109,1,1.112819052,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,2.389294135,0,1.550853176,1,1.840666738,1,0.649335427,Tristeza,Tristeza,Pre,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,0,1.543416133,1,1.857013615,1,1.414656328,1,0.529220764,Enojo,Enojo,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.471057755,0,1.181029674,0,,1,1.316747707,Enojo,Tristeza,Pre,Comisión,0,100,Comisión,0,100,Omisión,100,0,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.000137086,1,0.972984077,1,2.907383236,1,0.839093601,Alegría,Alegría,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,1.946216649,0,,0,1.223580226,1,0.931590267,Enojo,Enojo,Pre,Acierto,0,0,Omisión,100,0,Comisión,0,100,Acierto,0,0
ALJ10M,Grupo emoción,10,1,2.284993015,1,1.327451518,1,1.376932644,0,0.657096815,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Comisión,0,100
ALJ10M,Grupo emoción,10,1,2.845609359,1,1.604030107,1,1.498826271,1,0.920429764,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,2.152041602,1,1.387766035,1,1.428769129,1,0.863956831,Tristeza,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,2.032686643,1,1.049823249,0,1.367972636,1,0.736175199,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Comisión,0,100,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.238091645,1,1.132405043,1,1.9580373,1,1.356582208,Enojo,Alegría,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
