código,grupo,condición,evaluación,ms,µV,electrodo
ADA8M,2,Alegría,POST,598,9.28,P3
ADA8M,2,Enojo,POST,478,4.36,P3
ADA8M,2,Identidad,POST,548,6.99,P3
ADA8M,2,Sexo,POST,474,9.96,P3
ADA8M,2,Tristeza,POST,586,10,P3
ADA8M,2,Alegría,PRE,590,13.54,P3
ADA8M,2,Enojo,PRE,534,20.58,P3
ADA8M,2,Identidad,PRE,510,10.17,P3
ADA8M,2,Sexo,PRE,472,8.31,P3
ADA8M,2,Tristeza,PRE,600,16.87,P3
AMA8M,2,Enojo,POST,220,3.64,T5
SPM8M,1,Alegría,POST,236,9.37567742,T5
KGJ9M,1,Identidad,PRE,234,8.32,T5
KGJ9M,1,Tristeza,POST,246,7.3,T5
KGJ9M,1,Tristeza,PRE,232,7.29,T5
CVO8M,2,Alegría,POST,272,7.04,T5
KGJ9M,1,Sexo,POST,248,6.91,T5
HMA8M,1,Tristeza,PRE,232,6.33,T5
JOB10M,2,Alegría,PRE,240,5.54,T5
KGJ9M,1,Identidad,POST,256,5.35,T5
ADA8M,2,Alegría,POST,226,-12.48,T6
ADA8M,2,Enojo,POST,226,-1.95,T6
ADA8M,2,Identidad,POST,230,-16.33,T6
ADA8M,2,Sexo,POST,224,-3.87,T6
ADA8M,2,Tristeza,POST,234,-6.92,T6
ADA8M,2,Alegría,PRE,232,-4.65,T6
ADA8M,2,Enojo,PRE,220,2.34,T6
ADA8M,2,Identidad,PRE,226,1.65,T6
ADA8M,2,Sexo,PRE,234,-10.26,T6
ADA8M,2,Tristeza,PRE,232,-9.58,T6
ALJ10M,1,Alegría,POST,548,10.28,P3
ALJ10M,1,Enojo,POST,560,8.66,P3
ALJ10M,1,Identidad,POST,558,22.76,P3
ALJ10M,1,Sexo,POST,564,12.81,P3
ALJ10M,1,Tristeza,POST,564,9.97,P3
ALJ10M,1,Alegría,PRE,548,10.71,P3
ALJ10M,1,Enojo,PRE,526,14.4,P3
ALJ10M,1,Identidad,PRE,548,21.21,P3
ALJ10M,1,Sexo,PRE,564,24.08,P3
ALJ10M,1,Tristeza,PRE,528,17.76,P3
SPM8M,1,Enojo,POST,240,5.29,T5
MCJ8M,1,Tristeza,POST,214,4.33,T5
JOB10M,2,Identidad,POST,228,3.89,T5
CLB8M,1,Tristeza,PRE,210,3.54,T5
MRA8M,2,Enojo,POST,228,3.07,T5
CVO8M,2,Alegría,PRE,202,2.96,T5
KGJ9M,1,Enojo,POST,244,2.9,T5
JOB10M,2,Enojo,POST,240,2.75,T5
CVO8M,2,Sexo,POST,246,2.61,T5
EHO8M,1,Enojo,POST,250,2.51,T5
ALJ10M,1,Alegría,POST,240,-4.17,T6
ALJ10M,1,Enojo,POST,228,-11.27,T6
ALJ10M,1,Identidad,POST,234,-7.03,T6
ALJ10M,1,Sexo,POST,226,-6.37,T6
ALJ10M,1,Tristeza,POST,240,-9.11,T6
ALJ10M,1,Alegría,PRE,234,-10.37,T6
ALJ10M,1,Enojo,PRE,234,-9.43,T6
ALJ10M,1,Identidad,PRE,232,-11.39,T6
ALJ10M,1,Sexo,PRE,238,-8.38,T6
ALJ10M,1,Tristeza,PRE,238,-12.99,T6
AMA8M,2,Alegría,POST,518,11.14,P3
AMA8M,2,Enojo,POST,494,8.78,P3
AMA8M,2,Identidad,POST,524,20.05,P3
AMA8M,2,Sexo,POST,584,12.2,P3
AMA8M,2,Tristeza,POST,582,24.53,P3
AMA8M,2,Alegría,PRE,532,15.89,P3
AMA8M,2,Enojo,PRE,518,6.59,P3
AMA8M,2,Identidad,PRE,524,29.78,P3
AMA8M,2,Sexo,PRE,576,17.64,P3
AMA8M,2,Tristeza,PRE,530,25.43,P3
KGJ9M,1,Alegría,POST,232,2.07,T5
JOB10M,2,Tristeza,POST,242,2.05,T5
ADA8M,2,Tristeza,POST,230,1.93,T5
CVO8M,2,Enojo,POST,216,1.56,T5
EHO8M,1,Tristeza,POST,238,1.5,T5
MRA8M,2,Tristeza,PRE,232,1.34,T5
MCJ8M,1,Enojo,PRE,242,1.3,T5
CVO8M,2,Identidad,POST,234,1.2,T5
KGJ9M,1,Alegría,PRE,234,1.03,T5
ADA8M,2,Enojo,POST,216,0.96,T5
AMA8M,2,Alegría,POST,246,-8.22,T6
AMA8M,2,Enojo,POST,216,6.29,T6
AMA8M,2,Identidad,POST,230,-6.01,T6
AMA8M,2,Sexo,POST,238,-6.42,T6
AMA8M,2,Tristeza,POST,246,-2.17,T6
AMA8M,2,Alegría,PRE,218,-9.06,T6
AMA8M,2,Enojo,PRE,220,-5.473363636,T6
AMA8M,2,Identidad,PRE,226,-5.51,T6
AMA8M,2,Sexo,PRE,238,-7.29,T6
AMA8M,2,Tristeza,PRE,212,0.14,T6
CLB8M,1,Alegría,POST,542,14.97,P3
CLB8M,1,Enojo,POST,540,6.61,P3
CLB8M,1,Identidad,POST,534,18.6,P3
CLB8M,1,Sexo,POST,582,2.49,P3
CLB8M,1,Tristeza,POST,552,10.84,P3
CLB8M,1,Alegría,PRE,524,11.12,P3
CLB8M,1,Enojo,PRE,604,2.91,P3
CLB8M,1,Identidad,PRE,566,9.99,P3
CLB8M,1,Sexo,PRE,524,2.19,P3
CLB8M,1,Tristeza,PRE,580,8.41,P3
AMA8M,2,Identidad,POST,218,0.96,T5
AMA8M,2,Enojo,PRE,230,0.8,T5
EHO8M,1,Alegría,POST,236,0.79,T5
CVO8M,2,Tristeza,PRE,250,0.76,T5
JSR9M,2,Sexo,PRE,236,0.51,T5
MRA8M,2,Enojo,PRE,222,0.39,T5
SFN10M,2,Tristeza,POST,226,0.18,T5
KGJ9M,1,Sexo,PRE,242,-0.45,T5
ALJ10M,1,Sexo,POST,210,-0.53,T5
MRA8M,2,Sexo,PRE,232,-0.55,T5
CLB8M,1,Alegría,POST,238,-6.19,T6
CLB8M,1,Enojo,POST,226,0.11,T6
CLB8M,1,Identidad,POST,238,-1.32,T6
CLB8M,1,Sexo,POST,244,-7.55,T6
CLB8M,1,Tristeza,POST,228,-0.95,T6
