,EPPPCP..AC,EPPPCP..DP,EPPPCP..AE,EPPPCP..CR,EPPPCP..IE,RC.emp.A.1,TR.emp.A.1,EO.emp.A.1,EC.emp.A.1,RC.emp.T.1,TR.emp.T.1,EO.emp.T.1,EC.emp.T.1,RC.emp.E.1,TR.emp.E.1,EO.emp.E.1,EC.emp.E.1,RC.mem.A.1,TR.mem.A.1,EO.mem.A.1,EC.mem.A.1,RC.mem.T.1,TR.mem.T.1,EO.mem.T.1,EC.mem.T.1,RC.mem.E.1,TR.mem.E.1,EO.mem.E.1,EC.mem.E.1,RC.emp.ID.1,TR.emp.ID.1,EO.emp.ID.1,EC.emp.ID.1,RC.mem.ID.1,TR.mem.ID.1,EO.mem.ID.1
EPPPCP..AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPPPCP..DP,-0.58*   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPPPCP..AE, 0.91****,-0.62*   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPPPCP..CR,0.03,0.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPPPCP..IE,-0.92****, 0.73**  ,-0.85*** ,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.emp.A.1,-0.25,0.43,-0.21,0.43,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR.emp.A.1,-0.34,0.02,-0.41,-0.31,0.25,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EO.emp.A.1,0.17,-0.34,0.09,-0.28,-0.27,-0.79**  ,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC.emp.A.1,0.12,-0.13,0.19,-0.22,-0.34,-0.29,-0.38,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.emp.T.1,-0.28,0.34,-0.48,-0.24,0.15,-0.17,0.18,0.09,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR.emp.T.1,-0.55,-0.06,-0.49,-0.3,0.41,-0.21, 0.80**  ,0.39,-0.29,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,
EO.emp.T.1,-0.02,-0.23,-0.01,0.26,-0.01,-0.25,0.43,0.54,-0.47,-0.24,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
EC.emp.T.1,0.27,-0.16,0.45,0.04,-0.14,0.33,-0.46,-0.45,0.21,-0.75**  ,-0.48,-0.45,,,,,,,,,,,,,,,,,,,,,,,,
RC.emp.E.1,0.29,0.08,0.13,-0.24,-0.14,-0.34,0.09, 0.58*   ,-0.39,-0.16,-0.1,0.29,-0.05,,,,,,,,,,,,,,,,,,,,,,,
TR.emp.E.1,-0.62*   ,-0.06,-0.51,-0.42,0.39,-0.22,0.53,0.28,-0.1,0.15, 0.79**  ,0.28,-0.33,-0.11,,,,,,,,,,,,,,,,,,,,,,
EO.emp.E.1,-0.45,0,-0.44,-0.01,0.44,0.03,0.54,0.38,-0.64*   ,0.23, 0.78**  , 0.62*   ,-0.63*   ,0,0.57,,,,,,,,,,,,,,,,,,,,,
EC.emp.E.1,-0.06,-0.07,0.08,0.22,-0.06,0.29,-0.32,-0.68*   , 0.63*   ,0.04,-0.25,-0.53,0.32,-0.90****,-0.15,-0.44,,,,,,,,,,,,,,,,,,,,
RC.mem.A.1,0.32,0.15,0.33,0.2,-0.24,0.27,-0.57,-0.45,0.29,0.24,-0.53,-0.67*   ,0.24,-0.16,-0.41,-0.54,0.38,,,,,,,,,,,,,,,,,,,
TR.mem.A.1,-0.35,0.05,-0.27,-0.18,0.19,-0.28, 0.74**  ,0.32,-0.07,0.23, 0.78**  ,0.3,-0.42,-0.11, 0.69*   ,0.39,-0.07,-0.13,,,,,,,,,,,,,,,,,,
EO.mem.A.1,-0.54,0.06,-0.66*   ,-0.53,0.32,-0.36, 0.70*   ,0.32,0.05,0.5, 0.62*   ,0.1,-0.53,-0.21,0.55,0.41,0,-0.58*   ,0.4,,,,,,,,,,,,,,,,,
