,Variables,Corr,P_val
1,SSIS.1-RC.emp.A.1,-0.366966943,0.240643276
2,SSIS.1-TR.emp.A.1,-0.037534916,0.907802216
3,SSIS.1-EO.emp.A.1,0.187332274,0.559888321
4,SSIS.1-EC.emp.A.1,0.269585864,0.396792606
5,SSIS.1-RC.emp.T.1,-0.158534441,0.622638489
6,SSIS.1-TR.emp.T.1,-0.148210462,0.645736897
7,SSIS.1-EO.emp.T.1,-0.470256831,0.122885792
8,SSIS.1-EC.emp.T.1,0.463717441,0.128901672
9,SSIS.1-RC.emp.E.1,-0.06518031,0.840500497
10,SSIS.1-TR.emp.E.1,-0.154015564,0.632711906
11,SSIS.1-EO.emp.E.1,-0.385611914,0.215729863
12,SSIS.1-EC.emp.E.1,0.22897484,0.474085923
13,SSIS.1-RC.mem.A.1,0.303257842,0.337964333
14,SSIS.1-TR.mem.A.1,-0.018029237,0.955650398
15,SSIS.1-EO.mem.A.1,-0.118439758,0.713910487
16,SSIS.1-EC.mem.A.1,-0.202841148,0.527210934
17,SSIS.1-RC.mem.T.1,0.30990643,0.326939949
18,SSIS.1-TR.mem.T.1,-0.115412306,0.72096168
19,SSIS.1-EO.mem.T.1,-0.259716706,0.414957333
20,SSIS.1-EC.mem.T.1,0.011462812,0.971795677
21,SSIS.1-RC.mem.E.1,-0.095551319,0.767693283
22,SSIS.1-TR.mem.E.1,-0.250318043,0.432631633
23,SSIS.1-EO.mem.E.1,-0.024646565,0.939395443
24,SSIS.1-EC.mem.E.1,0.147401444,0.647559479
25,SSIS.1-RC.emp.ID.1,0.248109863,0.436836445
26,SSIS.1-TR.emp.ID.1,0.111240578,0.730710664
27,SSIS.1-EO.emp.ID.1,0.041636792,0.897770937
28,SSIS.1-EC.emp.ID.1,-0.253472668,0.426658958
29,SSIS.1-RC.mem.ID.1,0.12216132,0.70527077
30,SSIS.1-TR.mem.ID.1,0.074726007,0.817466266
31,SSIS.1-EO.mem.ID.1,-0.212743456,0.506786433
32,SSIS.1-EC.mem.ID.1,-0.192670602,0.548547892
33,SSIS.Comu.1-RC.emp.A.1,-0.579408565,0.240643276
34,SSIS.Comu.1-TR.emp.A.1,-0.244952259,0.907802216
